_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
121,2021-01-16T00:00:22.930Z,/sonometros,NoiseLevelObserved,T248684-daily,61.0,63.1,62.2,59.0,49.1,2021-01-15
122,2021-01-17T00:00:23.776Z,/sonometros,NoiseLevelObserved,T248684-daily,58.2,60.0,60.1,56.9,49.8,2021-01-16
123,2021-01-18T00:00:26.586Z,/sonometros,NoiseLevelObserved,T248684-daily,58.0,59.9,59.2,58.0,44.2,2021-01-17
124,2021-01-19T00:00:28.296Z,/sonometros,NoiseLevelObserved,T248684-daily,58.8,60.7,60.2,57.6,48.2,2021-01-18
125,2021-01-20T00:00:30.958Z,/sonometros,NoiseLevelObserved,T248684-daily,58.4,60.3,59.8,57.7,47.3,2021-01-19
126,2021-01-21T00:00:32.820Z,/sonometros,NoiseLevelObserved,T248684-daily,59.8,61.8,61.0,58.1,47.9,2021-01-20
127,2021-01-22T00:00:35.633Z,/sonometros,NoiseLevelObserved,T248684-daily,57.7,59.4,59.6,58.5,48.1,2021-01-21
128,2021-01-23T00:00:37.425Z,/sonometros,NoiseLevelObserved,T248684-daily,56.0,57.7,58.0,57.8,45.7,2021-01-22
129,2021-01-24T00:00:40.466Z,/sonometros,NoiseLevelObserved,T248684-daily,56.3,58.0,58.6,57.1,48.2,2021-01-23
130,2021-01-25T00:00:41.701Z,/sonometros,NoiseLevelObserved,T248684-daily,54.3,55.4,58.2,55.7,50.3,2021-01-24
131,2021-01-26T00:00:44.16Z,/sonometros,NoiseLevelObserved,T248684-daily,57.9,59.8,59.6,56.3,48.5,2021-01-25
132,2021-01-27T00:01:46.210Z,/sonometros,NoiseLevelObserved,T248684-daily,57.9,59.7,59.8,55.8,49.8,2021-01-26
133,2021-01-28T00:00:48.659Z,/sonometros,NoiseLevelObserved,T248684-daily,58.0,59.8,59.7,58.1,47.8,2021-01-27
134,2021-01-29T00:00:52.400Z,/sonometros,NoiseLevelObserved,T248684-daily,57.3,59.1,59.0,57.1,47.3,2021-01-28
135,2021-01-30T00:00:53.995Z,/sonometros,NoiseLevelObserved,T248684-daily,57.2,59.0,59.0,57.1,47.5,2021-01-29
136,2021-01-31T00:00:57.689Z,/sonometros,NoiseLevelObserved,T248684-daily,55.9,57.7,57.6,56.5,45.5,2021-01-30
137,2021-02-01T00:00:58.86Z,/sonometros,NoiseLevelObserved,T248684-daily,54.4,56.1,56.2,55.5,43.9,2021-01-31
138,2021-02-02T00:00:03.989Z,/sonometros,NoiseLevelObserved,T248684-daily,57.7,59.5,59.7,55.9,49.6,2021-02-01
139,2021-02-03T00:00:12.735Z,/sonometros,NoiseLevelObserved,T248684-daily,57.1,58.9,59.0,57.1,47.9,2021-02-02
